id,host_since,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,bathrooms,bedrooms,beds,price,availability_365,estimated_occupancy_l365d,number_of_reviews_ly,last_review,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,geometry,AREA,zona_peuat,Reviews
1166758563267187200,2021,1,2,2,la Barceloneta,Ciutat Vella,Entire home/apt,1,1,1,78,280,0,0,NA,NA,NA,NA,NA,NA,"c(432297.016494827, 4580994.0570163)",1316.17983204,1,0
1166807236975879680,2020,1,1,2,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,Entire home/apt,2,3,3,270,254,0,0,NA,NA,NA,NA,NA,NA,"c(434265.282089741, 4584090.260159)",1334.33646724,2,0
1167131688163095808,2024,1,2,2,la Dreta de l'Eixample,Eixample,Entire home/apt,2,3,6,165,280,120,12,2025-03-03,4.8,4.85,4.95,4.95,4.8,"c(430572.135979364, 4582429.32078631)",1316.17983204,1,1
1167159587929438208,2024,2,2,2,la Dreta de l'Eixample,Eixample,Entire home/apt,1,1,1,119,143,255,27,2025-03-03,4.97,4.97,4.97,5,4.82,"c(430116.513774233, 4582349.31978972)",1316.17983204,1,1
1167176063090706688,2017,1,2,2,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,Entire home/apt,2,3,4,188,352,78,9,2025-02-14,4.23,4.85,4.85,4.85,4.08,"c(427608.691573508, 4584499.05821919)",1092.73224987,3,1
1167179772672024832,2024,2,2,2,la Dreta de l'Eixample,Eixample,Private room,1,1,1,96,287,255,27,2025-03-03,4.9,4.9,4.9,4.92,4.67,"c(430116.741329527, 4582349.50634368)",1316.17983204,1,1
1167183426722485248,2023,2,2,2,les Corts,Les Corts,Entire home/apt,1,2,1,170,186,18,3,2024-09-29,5,5,5,5,5,"c(427531.213901291, 4581684.11554554)",1334.33646724,2,1
1167257857434940160,2011,2,2,2,el Barri Gòtic,Ciutat Vella,Entire home/apt,2,2,2,127,314,0,0,NA,NA,NA,NA,NA,NA,"c(431370.259258334, 4581595.66449326)",1316.17983204,1,0
1167269553476710912,2011,1,2,2,el Barri Gòtic,Ciutat Vella,Entire home/apt,1,3,2,NA,0,0,0,NA,NA,NA,NA,NA,NA,"c(431389.301297011, 4580891.67909571)",1316.17983204,1,0
1171585396204913664,2024,1,2,1,el Raval,Ciutat Vella,Private room,1,1,3,239,285,6,1,2024-07-15,5,5,5,2,5,"c(430314.850078854, 4581217.01500712)",1316.17983204,1,1
1171586575600952576,2024,1,2,2,el Raval,Ciutat Vella,Private room,NA,1,NA,NA,0,48,8,2024-11-02,4,4.63,4.75,4.5,4.13,"c(430183.293689497, 4581643.64316907)",1316.17983204,1,1
1171655852534680832,2020,1,2,2,Sant Antoni,Eixample,Entire home/apt,2,2,2,157,64,0,0,NA,NA,NA,NA,NA,NA,"c(429999.042771977, 4581441.12787602)",1316.17983204,1,0
1171711233365664000,2022,1,2,2,la Sagrada Família,Eixample,Entire home/apt,1,1,1,116,151,62,1,2024-10-12,4,4,5,5,3,"c(431461.226442993, 4583904.93986934)",1334.33646724,2,1
1171729791549585408,2022,2,2,2,el Camp de l'Arpa del Clot,Sant Martí,Private room,1,1,1,66,175,200,19,2025-01-04,4.7,4.75,4.95,4.85,4.55,"c(431328.073250253, 4584994.65039724)",474.370862243,3,1
